datetime / type 	steps 	duration 	fps 	size 	cpus 	timestamp
20260415231309 / untitled 	2045 	136.49 s 	14.17 	2.24 GB 	4 	15/04/2026, 11:13:09 pm
20260415225100 / untitled 	1561 	104.25 s 	14.23 	1.76 GB 	4 	15/04/2026, 10:51:00 pm
20260415223501 / untitled 	1456 	97.18 s 	14.18 	1.65 GB 	4 	15/04/2026, 10:35:01 pm
20260415223142 / untitled 	1796 	119.86 s 	14.14 	2.01 GB 	4 	15/04/2026, 10:31:42 pm
20260415221557 / untitled 	2562 	171.02 s 	14.15 	2.82 GB 	4 	15/04/2026, 10:15:58 pm
20260415220956 / untitled 	1300 	86.80 s 	14.18 	１.46 GB 	4 	１5/０４/２０２６，１０:０９:５６ pm
20260415214041 / untitled 	1532 	102.25 s 	14.34 	1.73 GB 	4 	15/04/2026, 9:40:40 pm
20260415213735 / untitled 	1603 	106.98 s 	14.05 	1.74 GB 	4 	15/04/2026, 9:37:35 pm
20260415204026 / untitled 	1956 	131.03 s 	13.94 	2.08 GB 	4 	15/04/2026, 8:40:26 pm
20260415201152 / untitled Converting 	1604 	145.43 s 	13.09 	5.86 GB 	3 	15/04/2026, 8:11:52 pm
20260415195202 / untitled 	1755 	117.45 s 	14.09 	1.85 GB 	4 	15/04/2026, 7:52:02 pm
20260415194949 / untitled 	1662 	111.94 s 	13.97 	1.75 GB 	4 	15/04/2026, 7:49:49 pm
20260415194543 / untitled 	2297 	154.01 s 	14.20 	8.67 GB 	3 	15/04/2026, 7:45:43 pm
20260415194311 / untitled 	1928 	128.94 s 	13.88 	2.03 GB 	4 	15/04/2026, 7:43:11 pm
20260415193213 / GPU 	1572 	105.15 s 	14.09 	1.65 GB 	4 	15/04/2026, 7:32:13 pm
20260415193006 / GPU_c_i_GPU_c_i_GPU 	1548 	105.67 s 	14.05 	1.63 GB 	4 	15/04/2026, 7:30:06 pm
20260415192718 / GPU Converting 	1929 	129.23 s 	13.89 	7.13 GB 	3 	15/04/2026, 7:27:18 pm
20260415183950 / GPU 	1566 	104.84 s 	13.89 	1.63 GB 	4 	15/04/2026, 6:39:50 pm
20260415182038 / untitled 	1776 	118.96 s 	13.93 	1.84 GB 	4 	15/04/2026, 6:20:38 pm
20260415180305 / untitled 	1571 	105.12 s 	14.17 	1.68 GB 	4 	15/04/2026, 6:03:05 pm
20260415173358 / untitled Converting 	2402 	161.03 s 	13.88 	8.81 GB 	3 	15/04/2026, 5:33:58 pm
20260415172638 / untitled 	2562 	171.29 s 	13.88 	2.71 GB 	4 	15/04/2026, 5:26:38 pm
20260415135104 / GPUc 	2177 	152.82 s 	14.28 	2.69 GB 	4 	15/04/2026, 1:51:04 pm
20260415134806 / GPUc 	1633 	114.45 s 	14.18 	2.01 GB 	4 	15/04/2026, 1:48:06 pm
20260415115144 / untitled 	1844 	129.57 s 	14.22 	4.23 GB 	2 	15/04/2026, 11:51:44 am
20260415114458 / GPU 	2259 	164.18 s 	14.20 	2.70 GB 	4 	15/04/2026, 11:44:58 am
20260415114126 / GPU 	2054 	151.03 s 	14.13 	2.46 GB 	4 	15/04/2026, 11:41:26 am
20260415113837 / GPU 	1747 	124.21 s 	14.22 	2.09 GB 	4 	15/04/20
